ID,question_type,question,context,PREDICTED_ANSWER
EIS01114,closed,Did the DOE issue the TC&WM EIS for the Hanford Site?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",Yes
EIS01115,closed,Did the TC&WM EIS analyze more than 15 alternatives?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",Yes
EIS01116,closed,Was the EIS issued after December 2012?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01117,closed,Does Tank Closure Alternative 2B aim to retrieve 90 percent of the waste from SSTs?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01118,closed,Was the Final TC&WM EIS issued in 2013?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",Yes
EIS01119,closed,Did the 2013 ROD include constructing new transfer lines?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01120,closed,Will the vitrified LAW be disposed without pre-treatment?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01121,closed,Are the SSTs at Hanford Site planned to remain open after the treatment?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01122,closed,Did the DOE decide to implement Waste Management Alternative 1 for waste disposal?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
EIS01123,closed,Is the integrated disposal facility referred to as IDF-West in the ROD?,"In December 2012, the U.S. Department of Energy (DOE) issued the Tank Closure and Waste
Management Environmental Impact Statement for the Hanford Site, Richland, Washington
(DOE/EIS-0391; DOE 2012) (hereinafter, TC&WM EIS). In the TC&WM EIS, DOE analyzed
17 alternatives,1 11 of which involved retrieval, treatment, storage, and disposal of tank wastes,
followed by the closure of the single-shell waste storage tanks (SST) at the Hanford Site. DOE
issued the first in a series of Records of Decision (RODs) for the Final TC&WM EIS on December
13, 2013 (Volume 78 of the Federal Register, page 75913 [78 FR 75913]).22 For the tank
closure portion of the alternatives, which encompasses operations of the tank farm and Waste
Treatment and Immobilization Plant (WTP), DOE announced that it would select Tank Closure
Alternative 2B,3 which would, among other things: (1) retrieve 99 percent of the waste from the
SSTs; (2) treat tank waste, including pretreatment of tank waste with separation into low-activity
waste (LAW) and high-level radioactive waste (HLW); and (3) dispose of the vitrified LAW and
secondary waste4 and construct immobilized HLW (IHLW) interim storage modules to store the
IHLW prior to disposal.5 The 2013 ROD also stated, ""Tank waste treatment includes
pretreatment of all tank waste, with separation into LAW and HLW. New evaporation capacity,
upgrades to the Effluent Treatment Facility (ETF), new transfer lines, and processing of both
vitrified LAW and secondary waste for disposal are part of tank waste treatment."" For waste
management, the ROD further stated: ""DOE has decided to implement Waste Management
Alternative 2, which includes disposal of LLW [low-level radioactive waste] and MLLW [mixed
low-level radioactive waste] at IDF [Integrated Disposal Facility]-East from tank treatment
operations.""",No
